"Name","ID","P_value","FDR","Significant","log2FC","ctl_centered","sh_centered"
"ARHGEF6","Q15052",0.470884189153008,0.919,FALSE,0.0281,-0.014,0.014
"ARHGEF7","Q14155-5",0.0524985650011794,0.784,FALSE,0.179,-0.0893,0.0893
"ARID1A","A0A0S2Q0B1",0.00655012605348043,0.324,FALSE,0.19,-0.0948,0.0948
"ARID1B","Q8NFD5-3",0.0429483455036217,0.759,FALSE,-0.107,0.0536,-0.0536
"ARID2","Q68CP9",0.11643152608967,0.855,FALSE,-0.124,0.0619,-0.0619
"ARID3A","Q99856",0.0193639365391743,0.615,FALSE,-0.145,0.0726,-0.0726
"ARID3B","Q8IVW6",0.887458931769916,0.937,FALSE,-0.00688,0.00344,-0.00344
"ARID4A","P29374",0.00606978445664897,0.306,FALSE,-0.188,0.094,-0.094
"ARID4B","Q4LE39",0.0600967407371135,0.799,FALSE,-0.254,0.127,-0.127
"ARID5B","Q14865",0.273759707230097,0.9,FALSE,0.0519,-0.026,0.026
"ARIH1","Q9Y4X5",0.813260015419056,0.934,FALSE,-0.0207,0.0103,-0.0103
"ARIH2","O95376",0.261765730442178,0.898,FALSE,0.0904,-0.0452,0.0452
"ARL1","P40616",0.0556572546332611,0.791,FALSE,-0.093,0.0465,-0.0465
"ARL14EP","Q8N8R7",0.411462349038128,0.914,FALSE,0.0648,-0.0324,0.0324
"ARL15","A0A087WUW9",0.346706136686714,0.909,FALSE,0.0373,-0.0187,0.0187
"ARL2","P36404",0.922639989086299,0.938,FALSE,-0.00437,0.00218,-0.00218
"ARL2BP","Q9Y2Y0",0.555210754362329,0.924,FALSE,0.0397,-0.0198,0.0198
"ARL3","P36405",0.2671467292506,0.899,FALSE,0.0725,-0.0362,0.0362
"ARL5A","Q9Y689",0.0347774314874798,0.728,FALSE,0.224,-0.112,0.112
"ARL6","Q9H0F7",0.389073763559046,0.913,FALSE,0.0415,-0.0208,0.0208
"ARL6IP4","Q66PJ3",0.358698307410018,0.91,FALSE,-0.0374,0.0187,-0.0187
