Name,ID,entrezgene_id,P_value,FDR,log2FC,Signif,Status,ctl_centered,ctl_1,ctl_2,sh_centered,sh_1,sh_2
FAM118B,Q9BPY3,79607,0.024747963497285128,0.668,-0.121,FALSE,Stable,0.0605,9.1641328755301,9.151783247696178,-0.0605,9.025543664837393,9.04836371089002
RPS13,P62277,6207,0.024843810203849678,0.668,-0.153,FALSE,Stable,0.0763,13.748445966653541,13.663450661701322,-0.0763,13.556293297465057,13.550557102926845
SARS2,M0QWZ7,54938,0.02483562641900949,0.668,-0.117,FALSE,Stable,0.0587,10.994322660658211,10.988158807366792,-0.0587,10.874245003574865,10.87349220720155
NDUFS6,O75380,4726,0.02488561274378103,0.669,0.151,FALSE,Stable,-0.0756,11.455467835514273,11.535182961506422,0.0756,11.634004701950493,11.659238106631122
RAP1B,P61224,5908,0.02492617086463506,0.669,0.197,FALSE,Stable,-0.0985,13.590033788055734,13.728208812997924,0.0985,13.859259063192829,13.852924898229023
WDFY1,Q8IWB7,57590,0.024854634455461367,0.669,0.125,FALSE,Stable,-0.0626,9.862882940243713,9.901260240578365,0.0626,10.007803104554357,10.006594419613057
WIPF1,O43516,7456,0.025015810153379534,0.67,0.195,FALSE,Stable,-0.0974,12.06641558644497,12.200676166127183,0.0974,12.317087592748567,12.339466736296941
B4DSS8,B4DSS8,NA,0.025191113548184957,0.671,-0.171,FALSE,Stable,0.0855,10.54038097680416,10.446284768731068,-0.0855,10.294494599801501,10.350326890348342
COPG1,Q9Y678,22820,0.025154372935779445,0.671,-0.194,FALSE,Stable,0.0972,14.665483275775388,14.801614662985582,-0.0972,14.5388861577909,14.539364583700188
EEF1B2,P24534,1933,0.025184608813084663,0.671,-0.184,FALSE,Stable,0.0918,14.651576441670366,14.539551403796093,-0.0918,14.438726507024915,14.385214550191112
EIF2B5,Q13144,8893,0.025108835746278167,0.671,-0.127,FALSE,Stable,0.0637,12.67800796635882,12.721627863601027,-0.0637,12.568259608465688,12.576710811453866
YTHDC2,Q9H6S0,64848,0.025216230179155356,0.671,0.14,FALSE,Stable,-0.0699,12.822261150109611,12.88884018011007,0.0699,13.001562525906273,12.989325406463488
CHCHD5,Q9BSY4,84269,0.02525062072508052,0.672,-0.228,FALSE,Stable,0.114,9.861893242961813,9.691359289991135,-0.114,9.53651842542258,9.559954792774288
ERO1A,Q96HE7,30001,0.025345288840293297,0.672,0.137,FALSE,Stable,-0.0686,12.560676412601268,12.621106191498171,0.0686,12.718125998499788,12.737973325402333
K4ENJ5,K4ENJ5,NA,0.02528978992251181,0.672,0.171,FALSE,Stable,-0.0854,15.035673163322311,15.143747381856862,0.0854,15.269130784292376,15.251798679851019
Q59E89,Q59E89,NA,0.025286404344388412,0.672,0.154,FALSE,Stable,-0.0768,10.66487984294497,10.72098997966129,0.0768,10.880370298608792,10.81280593923413
DOCK2,Q92608,1794,0.025433446877116288,0.673,0.184,FALSE,Stable,-0.092,14.490617773022397,14.615688555737599,0.092,14.740809533209916,14.73358110210036
KIF2A,O00139,NA,0.02537987877577065,0.673,-0.12,FALSE,Stable,0.0602,12.527450721787,12.508646143488122,-0.0602,12.407377965840084,12.387908984255029
Q53F02,Q53F02,NA,0.02541177112297455,0.673,-0.186,FALSE,Stable,0.0928,12.274480478086797,12.148045164566403,-0.0928,12.031719455842497,12.01954628632311
SAP30,O75446,8819,0.025382542986201607,0.673,-0.312,FALSE,Stable,0.156,9.438254407123303,9.221363379328036,-0.156,8.950725093522133,9.083973171569546
BORCS8,Q96FH0,NA,0.02568305678264822,0.675,-0.335,FALSE,Stable,0.168,9.224823024564964,9.482270907517501,-0.168,9.069553302897546,8.967124588749279
CBX5,P45973,23468,0.025649712361222023,0.675,0.217,FALSE,Stable,-0.108,13.733521851061655,13.881444620875845,0.108,13.992086026685419,14.056866761730227
