,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,name,ensembl
ENSG00000138821,4197.2400877446,0.00618420077087752,0.142693024720143,0.0433391946313165,0.965431147761976,0.99076235039052,SLC39A8,ENSG00000138821
ENSG00000185090,438.729812506429,-0.0171418127701867,0.396832772239322,-0.0431965653276459,0.965544843006401,0.99076235039052,MANEAL,ENSG00000185090
ENSG00000173898,2584.83093725683,-0.00828046195766496,0.191799446455227,-0.0431725018538984,0.965564024985967,0.99076235039052,SPTBN2,ENSG00000173898
ENSG00000090615,3396.25884375153,0.00440789926783243,0.102255047512396,0.0431069113463381,0.965616309964563,0.99076235039052,GOLGA3,ENSG00000090615
ENSG00000153815,1716.46010376371,-0.00543198199438045,0.126316341359066,-0.0430030029047431,0.965699140097898,0.99076235039052,CMIP,ENSG00000153815
ENSG00000198816,217.543069293457,-0.0233980750110736,0.545040444177463,-0.0429290619825183,0.965758081987303,0.99076235039052,ZNF358,ENSG00000198816
ENSG00000085840,2498.73075368293,0.00914816571499712,0.214557471954699,0.0426373671895642,0.96599060785276,0.990847146169707,ORC1,ENSG00000085840
ENSG00000133884,1877.61965936225,0.00558003300199466,0.130947656285411,0.0426126985414119,0.96601027271366,0.990847146169707,DPF2,ENSG00000133884
ENSG00000143543,4483.18508602428,0.00345107565300518,0.0815152219307694,0.0423365792457287,0.966230385394261,0.990985959013207,JTB,ENSG00000143543
ENSG00000164442,311.207399325903,-0.00854247735290158,0.202367294490679,-0.0422127368673945,0.966329109059581,0.990995799509538,CITED2,ENSG00000164442
ENSG00000229044,152.507633811212,-0.010004542634124,0.23860845200959,-0.0419287018119623,0.966555535774121,0.990995799509538,AL451070.1,ENSG00000229044
ENSG00000166377,242.705160228108,-0.00793246661991029,0.189455525783375,-0.041869808690512,0.96660248445804,0.990995799509538,ATP9B,ENSG00000166377
ENSG00000131941,291.315172852987,-0.0121173917303131,0.289535121213057,-0.041851198153596,0.966617320513794,0.990995799509538,RHPN2,ENSG00000131941
ENSG00000279152,194.258328260485,-0.0102486102507306,0.24592756753492,-0.0416732876003232,0.966759148862981,0.990995799509538,AC129492.7,ENSG00000279152
ENSG00000070371,354.857751556027,0.0129752289961418,0.312428106092472,0.0415302872664773,0.966873147929165,0.990995799509538,CLTCL1,ENSG00000070371
ENSG00000065802,859.90418348192,-0.00421029347635552,0.101586945763069,-0.0414452215757641,0.96694096214324,0.990995799509538,ASB1,ENSG00000065802
ENSG00000120705,6337.30695503542,0.00528832712410854,0.127641534226586,0.0414310839818083,0.966952232630637,0.990995799509538,ETF1,ENSG00000120705
ENSG00000233728,150.875727327609,0.018250594704722,0.441926505113583,0.0412978051633976,0.967058482805215,0.990995799509538,AL929472.3,ENSG00000233728
ENSG00000165244,1260.59447527314,0.00701109275457793,0.169920356028614,0.041261052639257,0.967087782103285,0.990995799509538,ZNF367,ENSG00000165244
ENSG00000247137,200.715179795309,0.00766241951750628,0.187188971292768,0.040934139787125,0.967348400632642,0.991015953202275,AP000873.2,ENSG00000247137
ENSG00000170906,172.068964401141,-0.0085955819970405,0.21028815012886,-0.0408752561272393,0.967395343706867,0.991015953202275,NDUFA3,ENSG00000170906
ENSG00000105639,317.033175745749,0.0151823000336573,0.371849780685682,0.0408291219256912,0.967432122770881,0.991015953202275,JAK3,ENSG00000105639
ENSG00000228242,791.885804829812,0.00583891780183448,0.143072189426754,0.0408109907678719,0.967446577294136,0.991015953202275,AC093495.1,ENSG00000228242
ENSG00000160404,449.603984500721,-0.00625670398496138,0.153728798141447,-0.0406996220656362,0.967535362895314,0.991020054055672,TOR2A,ENSG00000160404
ENSG00000267618,253.617684388784,-0.00634850052589891,0.156899305447372,-0.0404622602235059,0.967724594365461,0.991127029136762,RAD51L3-RFFL,ENSG00000267618
ENSG00000100744,1404.92581501318,0.00506316281751768,0.125819952342354,0.040241334726792,0.967900723956582,0.991220567927851,GSKIP,ENSG00000100744
ENSG00000196597,180.430034021532,-0.00844161650166368,0.211111971768398,-0.0399864414649333,0.96810393579201,0.99129821119748,ZNF782,ENSG00000196597
ENSG00000163875,1334.92878646585,-0.00376488639705581,0.094678539119371,-0.0397649396798258,0.968280528193151,0.99129821119748,MEAF6,ENSG00000163875
ENSG00000164219,932.197961634506,0.00532582027879479,0.134344219965309,0.0396430920524161,0.968377671934459,0.99129821119748,PGGT1B,ENSG00000164219
ENSG00000224407,1267.07392561345,0.00443889280016407,0.112004159912435,0.0396314994338996,0.968386914242575,0.99129821119748,AL136988.1,ENSG00000224407
ENSG00000127989,541.58042149112,0.00629126459438086,0.158812688819447,0.0396143698664616,0.968400570935412,0.99129821119748,MTERF1,ENSG00000127989
ENSG00000130517,913.350114854836,0.00827022469832788,0.209333335260327,0.0395074424627258,0.968485819923714,0.991298664543633,PGPEP1,ENSG00000130517
ENSG00000181396,663.620123457486,0.00544702526868201,0.138526008045087,0.039321318397547,0.968634210135118,0.991343701100861,OGFOD3,ENSG00000181396
ENSG00000160216,4011.91432453476,0.00665883195563096,0.170497598699788,0.0390552829272148,0.96884631280089,0.991343701100861,AGPAT3,ENSG00000160216
ENSG00000109133,1825.68900897224,0.00524305984297207,0.134292657911438,0.0390420438802373,0.968856867981745,0.991343701100861,TMEM33,ENSG00000109133
ENSG00000260618,142.674580371428,0.00710062159573233,0.181942417659321,0.0390267519091009,0.96886905991755,0.991343701100861,AC025917.1,ENSG00000260618
ENSG00000092929,868.442397753319,-0.00787647503596692,0.202603763318156,-0.038876252380358,0.968989050107564,0.991379694241341,UNC13D,ENSG00000092929
ENSG00000178125,353.423795545018,0.00492547651810977,0.127601369634566,0.0386004988207863,0.969208904589128,0.991479300433725,PPP1R42,ENSG00000178125
ENSG00000114853,120.437132150361,0.0164309571334136,0.427137384701429,0.0384676165606505,0.969314850605389,0.991479300433725,ZBTB47,ENSG00000114853
ENSG00000113716,2653.96731471496,0.00302673127461341,0.0789301827149298,0.0383469437229733,0.969411062611159,0.991479300433725,HMGXB3,ENSG00000113716
ENSG00000132549,2102.39454994246,-0.00873897823889488,0.228423511937868,-0.038257787759046,0.969482146616478,0.991479300433725,VPS13B,ENSG00000132549
ENSG00000168395,1015.88265600745,0.0051820520239423,0.135605710668212,0.0382141135384872,0.969516968139136,0.991479300433725,ING5,ENSG00000168395
ENSG00000006740,439.834496833558,-0.0143212291599018,0.375857243273115,-0.0381028420130654,0.969605685358548,0.991479300433725,ARHGAP44,ENSG00000006740
ENSG00000106554,1438.29660251642,0.0039013836527682,0.103325358471502,0.0377582397049631,0.969880440498662,0.991479300433725,CHCHD3,ENSG00000106554
ENSG00000142583,3064.64070403145,-0.0151345784345978,0.401194871818812,-0.0377237584468252,0.969907932975283,0.991479300433725,SLC2A5,ENSG00000142583
ENSG00000180660,127.220408968489,0.0616268478426272,1.63448007251667,0.0377042515714114,0.969923486145076,0.991479300433725,MAB21L1,ENSG00000180660
ENSG00000184983,236.983609781937,-0.00611509021324391,0.162245796047138,-0.037690284508002,0.969934622333788,0.991479300433725,NDUFA6,ENSG00000184983
ENSG00000159921,940.043174386282,0.00809820977098368,0.215676360606142,0.0375479711741439,0.970048091626358,0.991497842173127,GNE,ENSG00000159921
ENSG00000100395,2088.33649624426,0.00322768355128418,0.0863909258532777,0.0373613723826265,0.970196871526228,0.991497842173127,L3MBTL2,ENSG00000100395
